influencer,video_title,comment_text,like_count,reply_count,days_since_post,sentiment
FitWithMaya,15 Minute Fat Burn Workout,This workout was amazing and easy to follow,182,9,2,positive
FitWithMaya,15 Minute Fat Burn Workout,I actually finished the whole routine and feel great,140,6,2,positive
FitWithMaya,15 Minute Fat Burn Workout,Your cues are so clear and motivating,127,4,2,positive
FitWithMaya,15 Minute Fat Burn Workout,Love this session my legs are shaking in the best way,211,12,2,positive
FitWithMaya,15 Minute Fat Burn Workout,Best home workout channel on YouTube honestly,245,14,2,positive
FitWithMaya,15 Minute Fat Burn Workout,This video helped me get back into exercise after months,164,5,3,positive
FitWithMaya,15 Minute Fat Burn Workout,Great energy and perfect timing between sets,119,3,3,positive
FitWithMaya,15 Minute Fat Burn Workout,The workout is solid but the music is too loud,51,7,3,negative
FitWithMaya,15 Minute Fat Burn Workout,I like the routine but some moves need beginner options,48,5,3,neutral
FitWithMaya,15 Minute Fat Burn Workout,Can you make a version for small apartments,65,2,4,neutral
FitWithMaya,10 Minute Abs Challenge,That burn was real thank you for pushing us,196,10,5,positive
FitWithMaya,10 Minute Abs Challenge,This is my favorite ab workout on the internet,220,11,5,positive
FitWithMaya,10 Minute Abs Challenge,Good session and nice pacing,88,2,5,neutral
FitWithMaya,10 Minute Abs Challenge,I wish there was more explanation for lower back safety,57,6,5,negative
FitWithMaya,10 Minute Abs Challenge,The timer disappeared for a second on my screen,34,1,6,negative
FitWithMaya,10 Minute Abs Challenge,Coming back to this every morning before class,132,4,6,positive
FitWithMaya,What I Eat In A Day,Healthy meal ideas and realistic portions loved this,175,8,8,positive
FitWithMaya,What I Eat In A Day,This gave me simple ideas for meal prep,121,2,8,positive
FitWithMaya,What I Eat In A Day,The recipes look good but macros would help,53,3,8,neutral
FitWithMaya,What I Eat In A Day,Too many supplement mentions in one video,46,4,8,negative
CoachRavi,Full Body Dumbbell Workout,Super practical workout for busy people,161,7,2,positive
CoachRavi,Full Body Dumbbell Workout,Love how you explain form on every rep,203,11,2,positive
CoachRavi,Full Body Dumbbell Workout,Clear coaching and no unnecessary talking,146,5,2,positive
CoachRavi,Full Body Dumbbell Workout,This is useful for intermediate lifters,73,1,3,neutral
CoachRavi,Full Body Dumbbell Workout,My shoulders felt weird on the upright row section,44,6,3,negative
CoachRavi,Full Body Dumbbell Workout,Thanks for sharing a no nonsense routine,133,4,3,positive
CoachRavi,Full Body Dumbbell Workout,Please upload more workouts with resistance bands,69,2,4,neutral
CoachRavi,Full Body Dumbbell Workout,Good workout but the camera angle hides form sometimes,41,3,4,negative
CoachRavi,How To Fix Push Up Form,Finally someone explained push ups properly,187,13,6,positive
CoachRavi,How To Fix Push Up Form,My wrists hurt less after using your tips,149,8,6,positive
CoachRavi,How To Fix Push Up Form,This tutorial is detailed and easy to understand,138,6,6,positive
CoachRavi,How To Fix Push Up Form,Can you cover incline push ups for beginners next,76,4,6,neutral
CoachRavi,How To Fix Push Up Form,The audio is low compared to your other videos,32,2,7,negative
CoachRavi,How To Fix Push Up Form,Short and straight to the point perfect,117,3,7,positive
CoachRavi,High Protein Indian Meal Prep,Meal prep ideas are useful and affordable,191,9,10,positive
CoachRavi,High Protein Indian Meal Prep,This is helpful but please include vegetarian swaps,67,5,10,neutral
CoachRavi,High Protein Indian Meal Prep,Great recipes and very realistic grocery list,129,3,10,positive
CoachRavi,High Protein Indian Meal Prep,Too much emphasis on whey protein brands,39,4,10,negative
CoachRavi,High Protein Indian Meal Prep,Saved this for my weekly prep thank you,112,2,11,positive
CoachRavi,High Protein Indian Meal Prep,Nice video and simple instructions,84,1,11,neutral
IronLex,30 Day Strength Challenge,This challenge has kept me consistent for two weeks,210,12,1,positive
IronLex,30 Day Strength Challenge,Your programming is elite and actually progressive,188,9,1,positive
IronLex,30 Day Strength Challenge,I appreciate that you include rest day advice,144,6,1,positive
IronLex,30 Day Strength Challenge,The challenge looks good but it may be intense for beginners,71,4,2,neutral
IronLex,30 Day Strength Challenge,The intro is too long just get to the workout,49,5,2,negative
IronLex,30 Day Strength Challenge,Best strength creator on the platform right now,236,15,2,positive
IronLex,Science Based Leg Day,Excellent explanation of volume and recovery,174,8,4,positive
IronLex,Science Based Leg Day,This helped me understand why my squat progress stalled,151,6,4,positive
IronLex,Science Based Leg Day,Very informative and backed by good reasoning,128,4,4,positive
IronLex,Science Based Leg Day,Could you list the studies in the description next time,82,7,4,neutral
IronLex,Science Based Leg Day,The edit cuts are distracting in this one,37,3,5,negative
IronLex,Science Based Leg Day,Love how evidence based your content feels,159,5,5,positive
IronLex,Bulking Diet Mistakes,This saved me from wasting money on junk calories,166,7,9,positive
IronLex,Bulking Diet Mistakes,The advice is solid but the meal examples are repetitive,58,4,9,neutral
IronLex,Bulking Diet Mistakes,Very honest take on dirty bulking thanks,141,5,9,positive
IronLex,Bulking Diet Mistakes,I disagree with the section on peanut butter portions,43,6,9,negative
IronLex,Bulking Diet Mistakes,Please make a cutting version of this video,77,3,10,neutral
IronLex,Bulking Diet Mistakes,One of the most useful nutrition videos this month,122,2,10,positive
IronLex,Bulking Diet Mistakes,The sponsor segment was way too long,35,4,10,negative
FitWithMaya,12 Minute Glute Burner,This workout form video was exactly what I needed today.,120,6,1,positive
CoachRavi,Affordable High Protein Indian Meals,Your explanation made meal prep so much easier to understand.,121,7,2,positive
IronLex,Cutting Diet Mistakes,One of the best fitness uploads on this channel so far.,122,8,3,positive
JeetSelal,Fat Loss Cardio vs Weights,I tried this routine and the results already feel promising.,123,9,4,positive
ShreddedNisha,Women's Strength Training Basics,"Clear coaching, great pacing, and very motivating energy.",124,10,5,positive
FitWithMaya,Low Impact Morning Workout,This helped me stay consistent with my training this week.,125,6,6,positive
CoachRavi,How To Improve Squat Form,I appreciate how realistic and practical your advice is.,126,7,7,positive
IronLex,Hypertrophy Training Fundamentals,"Amazing content, especially the way you explained form cues.",127,8,8,positive
JeetSelal,Indian Bulking Diet Reality,This is now part of my regular workout rotation.,128,9,9,positive
ShreddedNisha,Home Abs and Mobility Flow,Finally a fitness video that feels useful instead of confusing.,129,10,10,positive
FitWithMaya,Healthy Meal Prep for Fat Loss,This workout form video was exactly what I needed today.,130,6,11,positive
CoachRavi,Resistance Band Home Workout,Your explanation made meal prep so much easier to understand.,131,7,12,positive
IronLex,Science Based Muscle Gain Tips,One of the best fitness uploads on this channel so far.,132,8,13,positive
JeetSelal,Best Workout Split for Natural Lifters,I tried this routine and the results already feel promising.,133,9,14,positive
ShreddedNisha,What I Eat Before and After Workouts,"Clear coaching, great pacing, and very motivating energy.",134,10,1,positive
FitWithMaya,Beginner Friendly Full Body Session,This helped me stay consistent with my training this week.,135,6,2,positive
CoachRavi,Push Pull Legs Explained,I appreciate how realistic and practical your advice is.,136,7,3,positive
IronLex,Upper Body Strength Session,"Amazing content, especially the way you explained form cues.",137,8,4,positive
JeetSelal,How To Stay Motivated in the Gym,This is now part of my regular workout rotation.,138,9,5,positive
ShreddedNisha,Common Beginner Mistakes in Fitness,Finally a fitness video that feels useful instead of confusing.,139,10,6,positive
FitWithMaya,12 Minute Glute Burner,"Good video overall, but I would like a bit more detail on workout form.",55,3,1,neutral
CoachRavi,Affordable High Protein Indian Meals,This was helpful and straightforward for a general audience.,56,4,2,neutral
IronLex,Cutting Diet Mistakes,"Nice explanation, though a beginner version would also help.",57,5,3,neutral
JeetSelal,Fat Loss Cardio vs Weights,"The content is solid, but timestamps would make it easier to follow.",58,6,4,neutral
ShreddedNisha,Women's Strength Training Basics,Useful video and I saved it for later reference.,59,7,5,neutral
FitWithMaya,Low Impact Morning Workout,"I liked the structure, but a few more examples would be nice.",60,3,6,neutral
CoachRavi,How To Improve Squat Form,"This seems practical, especially for people training at home.",61,4,7,neutral
IronLex,Hypertrophy Training Fundamentals,Could you make a follow up focused only on protein intake next time?,62,5,8,neutral
JeetSelal,Indian Bulking Diet Reality,"The advice makes sense, though I still have a few questions.",63,6,9,neutral
ShreddedNisha,Home Abs and Mobility Flow,Decent upload and the information is easy to apply.,64,7,10,neutral
FitWithMaya,Healthy Meal Prep for Fat Loss,"Good video overall, but I would like a bit more detail on workout form.",65,3,11,neutral
CoachRavi,Resistance Band Home Workout,This was helpful and straightforward for a general audience.,66,4,12,neutral
IronLex,Science Based Muscle Gain Tips,"Nice explanation, though a beginner version would also help.",67,5,13,neutral
JeetSelal,Best Workout Split for Natural Lifters,"The content is solid, but timestamps would make it easier to follow.",68,6,14,neutral
ShreddedNisha,What I Eat Before and After Workouts,Useful video and I saved it for later reference.,69,7,1,neutral
FitWithMaya,Beginner Friendly Full Body Session,"I liked the structure, but a few more examples would be nice.",70,3,2,neutral
CoachRavi,Push Pull Legs Explained,"This seems practical, especially for people training at home.",71,4,3,neutral
IronLex,Upper Body Strength Session,Could you make a follow up focused only on protein intake next time?,72,5,4,neutral
JeetSelal,How To Stay Motivated in the Gym,"The advice makes sense, though I still have a few questions.",73,6,5,neutral
ShreddedNisha,Common Beginner Mistakes in Fitness,Decent upload and the information is easy to apply.,74,7,6,neutral
FitWithMaya,12 Minute Glute Burner,The advice on workout form felt a bit rushed and incomplete.,28,4,1,negative
CoachRavi,Affordable High Protein Indian Meals,I expected more practical examples instead of general tips.,29,5,2,negative
IronLex,Cutting Diet Mistakes,The camera angle made the exercise demonstration hard to follow.,30,6,3,negative
JeetSelal,Fat Loss Cardio vs Weights,This one felt repetitive compared to your better videos.,31,7,4,negative
ShreddedNisha,Women's Strength Training Basics,I disagree with a few points in the bulking section.,32,8,5,negative
FitWithMaya,Low Impact Morning Workout,Too much promotion and not enough actual coaching in this upload.,33,4,6,negative
CoachRavi,How To Improve Squat Form,The pacing was off and the key points were easy to miss.,34,5,7,negative
IronLex,Hypertrophy Training Fundamentals,I wish this had more safety guidance for beginners.,35,6,8,negative
JeetSelal,Indian Bulking Diet Reality,The editing cuts made it harder to stay focused on the explanation.,36,7,9,negative
ShreddedNisha,Home Abs and Mobility Flow,This topic deserved a clearer and more detailed breakdown.,37,8,10,negative
FitWithMaya,Healthy Meal Prep for Fat Loss,The advice on workout form felt a bit rushed and incomplete.,38,4,11,negative
CoachRavi,Resistance Band Home Workout,I expected more practical examples instead of general tips.,39,5,12,negative
IronLex,Science Based Muscle Gain Tips,The camera angle made the exercise demonstration hard to follow.,40,6,13,negative
JeetSelal,Best Workout Split for Natural Lifters,This one felt repetitive compared to your better videos.,41,7,14,negative
ShreddedNisha,What I Eat Before and After Workouts,I disagree with a few points in the bulking section.,42,8,1,negative
FitWithMaya,Beginner Friendly Full Body Session,Too much promotion and not enough actual coaching in this upload.,43,4,2,negative
CoachRavi,Push Pull Legs Explained,The pacing was off and the key points were easy to miss.,44,5,3,negative
IronLex,Upper Body Strength Session,I wish this had more safety guidance for beginners.,45,6,4,negative
JeetSelal,How To Stay Motivated in the Gym,The editing cuts made it harder to stay focused on the explanation.,46,7,5,negative
ShreddedNisha,Common Beginner Mistakes in Fitness,This topic deserved a clearer and more detailed breakdown.,47,8,6,negative
FitWithMaya,12 Minute Glute Burner,This workout form video was exactly what I needed today. I am saving this for later.,120,6,1,positive
CoachRavi,Affordable High Protein Indian Meals,Your explanation made meal prep so much easier to understand. This stood out more than I expected.,121,7,2,positive
IronLex,Cutting Diet Mistakes,One of the best fitness uploads on this channel so far. I would watch a follow up on this.,122,8,3,positive
JeetSelal,Fat Loss Cardio vs Weights,I tried this routine and the results already feel promising. This feels relevant for natural lifters too.,123,9,4,positive
ShreddedNisha,Women's Strength Training Basics,"Clear coaching, great pacing, and very motivating energy. The practical examples really matter here.",124,10,5,positive
FitWithMaya,Low Impact Morning Workout,This helped me stay consistent with my training this week. This would help a lot of beginners.,125,6,6,positive
CoachRavi,How To Improve Squat Form,I appreciate how realistic and practical your advice is. The pacing made the point easier to catch.,126,7,7,positive
IronLex,Hypertrophy Training Fundamentals,"Amazing content, especially the way you explained form cues. I noticed this immediately while watching.",127,8,8,positive
JeetSelal,Indian Bulking Diet Reality,This is now part of my regular workout rotation. This is useful for people training at home.,128,9,9,positive
ShreddedNisha,Home Abs and Mobility Flow,Finally a fitness video that feels useful instead of confusing. I hope you explore this topic again.,129,10,10,positive
FitWithMaya,Healthy Meal Prep for Fat Loss,This workout form video was exactly what I needed today. I am saving this for later.,130,6,11,positive
CoachRavi,Resistance Band Home Workout,Your explanation made meal prep so much easier to understand. This stood out more than I expected.,131,7,12,positive
IronLex,Science Based Muscle Gain Tips,One of the best fitness uploads on this channel so far. I would watch a follow up on this.,132,8,13,positive
JeetSelal,Best Workout Split for Natural Lifters,I tried this routine and the results already feel promising. This feels relevant for natural lifters too.,133,9,14,positive
ShreddedNisha,What I Eat Before and After Workouts,"Clear coaching, great pacing, and very motivating energy. The practical examples really matter here.",134,10,1,positive
FitWithMaya,Beginner Friendly Full Body Session,This helped me stay consistent with my training this week. This would help a lot of beginners.,135,6,2,positive
CoachRavi,Push Pull Legs Explained,I appreciate how realistic and practical your advice is. The pacing made the point easier to catch.,136,7,3,positive
IronLex,Upper Body Strength Session,"Amazing content, especially the way you explained form cues. I noticed this immediately while watching.",137,8,4,positive
FitWithMaya,12 Minute Glute Burner,"Good video overall, but I would like a bit more detail on workout form. I am saving this for later.",55,3,1,neutral
CoachRavi,Affordable High Protein Indian Meals,This was helpful and straightforward for a general audience. This stood out more than I expected.,56,4,2,neutral
IronLex,Cutting Diet Mistakes,"Nice explanation, though a beginner version would also help. I would watch a follow up on this.",57,5,3,neutral
JeetSelal,Fat Loss Cardio vs Weights,"The content is solid, but timestamps would make it easier to follow. This feels relevant for natural lifters too.",58,6,4,neutral
ShreddedNisha,Women's Strength Training Basics,Useful video and I saved it for later reference. The practical examples really matter here.,59,7,5,neutral
FitWithMaya,Low Impact Morning Workout,"I liked the structure, but a few more examples would be nice. This would help a lot of beginners.",60,3,6,neutral
CoachRavi,How To Improve Squat Form,"This seems practical, especially for people training at home. The pacing made the point easier to catch.",61,4,7,neutral
IronLex,Hypertrophy Training Fundamentals,Could you make a follow up focused only on protein intake next time? I noticed this immediately while watching.,62,5,8,neutral
JeetSelal,Indian Bulking Diet Reality,"The advice makes sense, though I still have a few questions. This is useful for people training at home.",63,6,9,neutral
ShreddedNisha,Home Abs and Mobility Flow,Decent upload and the information is easy to apply. I hope you explore this topic again.,64,7,10,neutral
FitWithMaya,Healthy Meal Prep for Fat Loss,"Good video overall, but I would like a bit more detail on workout form. I am saving this for later.",65,3,11,neutral
CoachRavi,Resistance Band Home Workout,This was helpful and straightforward for a general audience. This stood out more than I expected.,66,4,12,neutral
IronLex,Science Based Muscle Gain Tips,"Nice explanation, though a beginner version would also help. I would watch a follow up on this.",67,5,13,neutral
JeetSelal,Best Workout Split for Natural Lifters,"The content is solid, but timestamps would make it easier to follow. This feels relevant for natural lifters too.",68,6,14,neutral
ShreddedNisha,What I Eat Before and After Workouts,Useful video and I saved it for later reference. The practical examples really matter here.,69,7,1,neutral
FitWithMaya,Beginner Friendly Full Body Session,"I liked the structure, but a few more examples would be nice. This would help a lot of beginners.",70,3,2,neutral
CoachRavi,Push Pull Legs Explained,"This seems practical, especially for people training at home. The pacing made the point easier to catch.",71,4,3,neutral
IronLex,Upper Body Strength Session,Could you make a follow up focused only on protein intake next time? I noticed this immediately while watching.,72,5,4,neutral
JeetSelal,How To Stay Motivated in the Gym,"The advice makes sense, though I still have a few questions. This is useful for people training at home.",73,6,5,neutral
ShreddedNisha,Common Beginner Mistakes in Fitness,Decent upload and the information is easy to apply. I hope you explore this topic again.,74,7,6,neutral
FitWithMaya,12 Minute Glute Burner,The advice on workout form felt a bit rushed and incomplete. I am saving this for later.,28,4,1,negative
CoachRavi,Affordable High Protein Indian Meals,I expected more practical examples instead of general tips. This stood out more than I expected.,29,5,2,negative
IronLex,Cutting Diet Mistakes,The camera angle made the exercise demonstration hard to follow. I would watch a follow up on this.,30,6,3,negative
JeetSelal,Fat Loss Cardio vs Weights,This one felt repetitive compared to your better videos. This feels relevant for natural lifters too.,31,7,4,negative
ShreddedNisha,Women's Strength Training Basics,I disagree with a few points in the bulking section. The practical examples really matter here.,32,8,5,negative
FitWithMaya,Low Impact Morning Workout,Too much promotion and not enough actual coaching in this upload. This would help a lot of beginners.,33,4,6,negative
CoachRavi,How To Improve Squat Form,The pacing was off and the key points were easy to miss. The pacing made the point easier to catch.,34,5,7,negative
IronLex,Hypertrophy Training Fundamentals,I wish this had more safety guidance for beginners. I noticed this immediately while watching.,35,6,8,negative
JeetSelal,Indian Bulking Diet Reality,The editing cuts made it harder to stay focused on the explanation. This is useful for people training at home.,36,7,9,negative
ShreddedNisha,Home Abs and Mobility Flow,This topic deserved a clearer and more detailed breakdown. I hope you explore this topic again.,37,8,10,negative
FitWithMaya,Healthy Meal Prep for Fat Loss,The advice on workout form felt a bit rushed and incomplete. I am saving this for later.,38,4,11,negative
CoachRavi,Resistance Band Home Workout,I expected more practical examples instead of general tips. This stood out more than I expected.,39,5,12,negative
IronLex,Science Based Muscle Gain Tips,The camera angle made the exercise demonstration hard to follow. I would watch a follow up on this.,40,6,13,negative
JeetSelal,Best Workout Split for Natural Lifters,This one felt repetitive compared to your better videos. This feels relevant for natural lifters too.,41,7,14,negative
ShreddedNisha,What I Eat Before and After Workouts,I disagree with a few points in the bulking section. The practical examples really matter here.,42,8,1,negative
FitWithMaya,Beginner Friendly Full Body Session,Too much promotion and not enough actual coaching in this upload. This would help a lot of beginners.,43,4,2,negative
CoachRavi,Push Pull Legs Explained,The pacing was off and the key points were easy to miss. The pacing made the point easier to catch.,44,5,3,negative
IronLex,Upper Body Strength Session,I wish this had more safety guidance for beginners. I noticed this immediately while watching.,45,6,4,negative
JeetSelal,How To Stay Motivated in the Gym,The editing cuts made it harder to stay focused on the explanation. This is useful for people training at home.,46,7,5,negative
ShreddedNisha,Common Beginner Mistakes in Fitness,This topic deserved a clearer and more detailed breakdown. I hope you explore this topic again.,47,8,6,negative
JeetSelal,Best Workout Split for Natural Lifters,Could you make a follow up focused only on meal prep next time? This feels relevant for natural lifters too.,56,4,2,neutral
CoachRavi,How To Improve Squat Form,Useful video and I saved it for later reference. The pacing made the point easier to catch.,57,5,3,neutral
ShreddedNisha,Common Beginner Mistakes in Fitness,This was helpful and straightforward for a general audience. I hope you explore this topic again.,58,6,4,neutral
IronLex,Science Based Muscle Gain Tips,"The advice makes sense, though I still have a few questions. I would watch a follow up on this.",59,7,5,neutral
JeetSelal,How To Stay Motivated in the Gym,"Nice explanation, though a beginner version would also help. This is useful for people training at home.",61,4,7,neutral
CoachRavi,Resistance Band Home Workout,Decent upload and the information is easy to apply. This stood out more than I expected.,62,5,8,neutral
ShreddedNisha,Women's Strength Training Basics,"This seems practical, especially for people training at home. The practical examples really matter here.",63,6,9,neutral
IronLex,Upper Body Strength Session,"The content is solid, but timestamps would make it easier to follow. I noticed this immediately while watching.",64,7,10,neutral
JeetSelal,Fat Loss Cardio vs Weights,Could you make a follow up focused only on meal prep next time? This feels relevant for natural lifters too.,66,4,12,neutral
CoachRavi,Push Pull Legs Explained,Useful video and I saved it for later reference. The pacing made the point easier to catch.,67,5,13,neutral
ShreddedNisha,Home Abs and Mobility Flow,This was helpful and straightforward for a general audience. I hope you explore this topic again.,68,6,14,neutral
IronLex,Cutting Diet Mistakes,"The advice makes sense, though I still have a few questions. I would watch a follow up on this.",69,7,1,neutral
JeetSelal,Indian Bulking Diet Reality,"Nice explanation, though a beginner version would also help. This is useful for people training at home.",71,4,3,neutral
CoachRavi,Affordable High Protein Indian Meals,Decent upload and the information is easy to apply. This stood out more than I expected.,72,5,4,neutral
ShreddedNisha,What I Eat Before and After Workouts,"This seems practical, especially for people training at home. The practical examples really matter here.",73,6,5,neutral
JeetSelal,Best Workout Split for Natural Lifters,I wish this had more safety guidance for beginners. This feels relevant for natural lifters too.,29,5,2,negative
CoachRavi,How To Improve Squat Form,I disagree with a few points in the progressive overload section. The pacing made the point easier to catch.,30,6,3,negative
ShreddedNisha,Common Beginner Mistakes in Fitness,I expected more practical examples instead of general tips. I hope you explore this topic again.,31,7,4,negative
IronLex,Science Based Muscle Gain Tips,The editing cuts made it harder to stay focused on the explanation. I would watch a follow up on this.,32,8,5,negative
JeetSelal,How To Stay Motivated in the Gym,The camera angle made the exercise demonstration hard to follow. This is useful for people training at home.,34,5,7,negative
CoachRavi,Resistance Band Home Workout,This topic deserved a clearer and more detailed breakdown. This stood out more than I expected.,35,6,8,negative
ShreddedNisha,Women's Strength Training Basics,The pacing was off and the key points were easy to miss. The practical examples really matter here.,36,7,9,negative
IronLex,Upper Body Strength Session,This one felt repetitive compared to your better videos. I noticed this immediately while watching.,37,8,10,negative
JeetSelal,Fat Loss Cardio vs Weights,I wish this had more safety guidance for beginners. This feels relevant for natural lifters too.,39,5,12,negative
CoachRavi,Push Pull Legs Explained,I disagree with a few points in the progressive overload section. The pacing made the point easier to catch.,40,6,13,negative
ShreddedNisha,Home Abs and Mobility Flow,I expected more practical examples instead of general tips. I hope you explore this topic again.,41,7,14,negative
IronLex,Cutting Diet Mistakes,The editing cuts made it harder to stay focused on the explanation. I would watch a follow up on this.,42,8,1,negative
JeetSelal,Indian Bulking Diet Reality,The camera angle made the exercise demonstration hard to follow. This is useful for people training at home.,44,5,3,negative
CoachRavi,Affordable High Protein Indian Meals,This topic deserved a clearer and more detailed breakdown. This stood out more than I expected.,45,6,4,negative
ShreddedNisha,What I Eat Before and After Workouts,The pacing was off and the key points were easy to miss. The practical examples really matter here.,46,7,5,negative
IronLex,Hypertrophy Training Fundamentals,This one felt repetitive compared to your better videos. I noticed this immediately while watching.,47,8,6,negative
